Source;Target;Label;Weight
17;38;NEdge1738;0.10865
18;38;NEdge1838;0.10932
19;38;NEdge1938;0.1095
20;38;NEdge2038;0.10936
21;38;NEdge2138;0.10918
22;38;NEdge2238;0.1094
23;38;NEdge2338;0.16786
24;38;NEdge2438;0.1452
25;38;NEdge2538;0.08382
26;38;NEdge2638;0.15935
38;27;PEdge3827;0.0042807
28;38;NEdge2838;0.10939
29;38;NEdge2938;0.098031
30;38;NEdge3038;0.10934
31;38;NEdge3138;0.073711
32;38;NEdge3238;0.10943
33;38;NEdge3338;0.16917
34;38;NEdge3438;0.10946
35;38;NEdge3538;0.11209
36;38;NEdge3638;0.092646
37;38;NEdge3738;0.11009
1;39;NEdge139;0.062851
39;2;PEdge392;0.26776
39;3;PEdge393;0.14709
39;4;PEdge394;0.14688
39;5;PEdge395;0.28613
39;6;PEdge396;0.23855
39;7;PEdge397;0.10458
39;8;PEdge398;0.26325
39;9;PEdge399;0.37177
39;10;PEdge3910;0.18784
39;11;PEdge3911;0.38693
39;12;PEdge3912;0.11018
39;13;PEdge3913;0.14693
39;14;PEdge3914;0.18137
39;15;PEdge3915;0.10742
39;16;PEdge3916;0.14691
39;17;PEdge3917;0.14674
39;18;PEdge3918;0.14682
39;19;PEdge3919;0.14694
39;20;PEdge3920;0.14678
39;21;PEdge3921;0.14667
39;22;PEdge3922;0.14673
23;39;NEdge2339;0.048371
39;24;PEdge3924;0.16716
39;25;PEdge3925;0.014134
39;26;PEdge3926;0.20909
39;27;PEdge3927;0.12903
39;28;PEdge3928;0.14678
39;29;PEdge3929;0.17148
39;30;PEdge3930;0.14644
39;31;PEdge3931;0.0080985
39;32;PEdge3932;0.14688
39;33;PEdge3933;0.20482
39;34;PEdge3934;0.14718
39;35;PEdge3935;0.3469
39;36;PEdge3936;0.22802
39;37;PEdge3937;0.23871
39;38;PEdge3938;0.0010458
1;40;NEdge140;0.18394
40;2;PEdge402;0.40117
40;3;PEdge403;0.16864
40;4;PEdge404;0.16885
40;5;PEdge405;0.22968
40;6;PEdge406;0.27701
40;7;PEdge407;0.38906
40;8;PEdge408;0.3569
40;9;PEdge409;0.23761
40;10;PEdge4010;0.26057
40;11;PEdge4011;0.23065
40;12;PEdge4012;0.39613
40;13;PEdge4013;0.16904
40;14;PEdge4014;0.41115
40;15;PEdge4015;0.38983
40;16;PEdge4016;0.16912
40;17;PEdge4017;0.16874
40;18;PEdge4018;0.16917
40;19;PEdge4019;0.16915
40;20;PEdge4020;0.16919
40;21;PEdge4021;0.16955
40;22;PEdge4022;0.16912
23;40;NEdge2340;0.11122
40;24;PEdge4024;0.29417
40;25;PEdge4025;0.27945
40;26;PEdge4026;0.29799
40;27;PEdge4027;0.061773
40;28;PEdge4028;0.16908
40;29;PEdge4029;0.50277
40;30;PEdge4030;0.1688
31;40;NEdge3140;0.038868
40;32;PEdge4032;0.16885
40;33;PEdge4033;0.62951
40;34;PEdge4034;0.16907
40;35;PEdge4035;0.3149
40;36;PEdge4036;0.31177
40;37;PEdge4037;0.31753
38;40;NEdge3840;0.049262
40;39;PEdge4039;0.15461
1;41;NEdge141;0.048154
41;2;PEdge412;0.5049
41;3;PEdge413;0.35882
41;4;PEdge414;0.35884
41;5;PEdge415;0.29545
41;6;PEdge416;0.42789
41;7;PEdge417;0.33174
41;8;PEdge418;0.42723
41;9;PEdge419;0.30702
41;10;PEdge4110;0.36343
41;11;PEdge4111;0.36219
41;12;PEdge4112;0.35782
41;13;PEdge4113;0.35878
41;14;PEdge4114;0.4601
41;15;PEdge4115;0.33359
41;16;PEdge4116;0.35891
41;17;PEdge4117;0.35836
41;18;PEdge4118;0.35871
41;19;PEdge4119;0.35892
41;20;PEdge4120;0.35871
41;21;PEdge4121;0.35839
41;22;PEdge4122;0.35855
23;41;NEdge2341;0.12023
41;24;PEdge4124;0.42349
41;25;PEdge4125;0.33101
41;26;PEdge4126;0.29697
41;27;PEdge4127;0.19697
41;28;PEdge4128;0.35869
41;29;PEdge4129;0.20925
41;30;PEdge4130;0.35911
41;31;PEdge4131;0.07068
41;32;PEdge4132;0.35884
41;33;PEdge4133;0.23137
41;34;PEdge4134;0.35866
41;35;PEdge4135;0.39479
41;36;PEdge4136;0.40431
41;37;PEdge4137;0.49131
38;41;NEdge3841;0.08466
41;39;PEdge4139;0.17433
41;40;PEdge4140;0.17513
1;42;NEdge142;0.10178
42;2;PEdge422;0.66539
42;3;PEdge423;0.72189
42;4;PEdge424;0.72143
42;5;PEdge425;0.30281
42;6;PEdge426;0.57917
42;7;PEdge427;0.82246
42;8;PEdge428;0.59194
42;9;PEdge429;0.23674
42;10;PEdge4210;0.40259
42;11;PEdge4211;0.25581
42;12;PEdge4212;0.81308
42;13;PEdge4213;0.72146
42;14;PEdge4214;0.84636
42;15;PEdge4215;0.82379
42;16;PEdge4216;0.72138
42;17;PEdge4217;0.72114
42;18;PEdge4218;0.72142
42;19;PEdge4219;0.72137
42;20;PEdge4220;0.72139
42;21;PEdge4221;0.72165
42;22;PEdge4222;0.72131
42;23;PEdge4223;0.10389
42;24;PEdge4224;0.80655
42;25;PEdge4225;0.59263
42;26;PEdge4226;0.31707
42;27;PEdge4227;0.26317
42;28;PEdge4228;0.72144
42;29;PEdge4229;0.35313
42;30;PEdge4230;0.7215
42;31;PEdge4231;0.29864
42;32;PEdge4232;0.72143
42;33;PEdge4233;0.45962
42;34;PEdge4234;0.7214
42;35;PEdge4235;0.41501
42;36;PEdge4236;0.6039
42;37;PEdge4237;0.60003
38;42;NEdge3842;0.14062
42;39;PEdge4239;0.19641
42;40;PEdge4240;0.34164
42;41;PEdge4241;0.43223
43;1;PEdge431;0.021597
43;2;PEdge432;0.62141
43;3;PEdge433;0.99995
43;4;PEdge434;0.99998
43;5;PEdge435;0.25939
43;6;PEdge436;0.56456
43;7;PEdge437;0.78
43;8;PEdge438;0.48681
43;9;PEdge439;0.21216
43;10;PEdge4310;0.42425
43;11;PEdge4311;0.21399
43;12;PEdge4312;0.76696
43;13;PEdge4313;0.99998
43;14;PEdge4314;0.6912
43;15;PEdge4315;0.78051
43;16;PEdge4316;0.99997
43;17;PEdge4317;0.99996
43;18;PEdge4318;0.99998
43;19;PEdge4319;0.99998
43;20;PEdge4320;0.99998
43;21;PEdge4321;0.99997
43;22;PEdge4322;0.99998
43;23;PEdge4323;0.16914
43;24;PEdge4324;0.67125
43;25;PEdge4325;0.5479
43;26;PEdge4326;0.29672
43;27;PEdge4327;0.2273
43;28;PEdge4328;0.99998
43;29;PEdge4329;0.19337
43;30;PEdge4330;0.99997
43;31;PEdge4331;0.48211
43;32;PEdge4332;0.99998
43;33;PEdge4333;0.28769
